registration	username	residence	company	name	birthdate	ssn	mail	user_id	current_location	imei	job
2019/09/09	jasonmiller	"837 Dawn Track
Guyshire, SD 63904"	Leonard Ltd	Christopher Ramsey		456-43-0025	barbaraharper@yahoo.com	569	(Decimal('-35.4866605'), Decimal('-126.966117'))	8630330696303482345	
26 Oct 2022	bsmith		Lang, Garza and Martin	Matthew Ross		401-60-5272	lisakhan@yahoo.com	1287	(Decimal('-71.2577755'), Decimal('-24.088612'))	863033069630348305	Archaeologist
2023/11/12	jeanette92		Allison-Thomas	Bobby Garcia		756-46-0240	diana16@yahoo.com	1454	(Decimal('15.5502415'), Decimal('74.236302'))	863033069630348529	
2022-03-01	mariagonzalez		Levine-Smith	Nicole Fitzgerald		110-17-7224	sullivananthony@gmail.com	2508	(Decimal('76.283353'), Decimal('-1.336879'))	3590433799317661347	Risk manager
2018/01/04	susan66		Gross Ltd	Jeremy Ford	1925-08-22	209-60-6164	toddlewis@hotmail.com	1236	(Decimal('-1.2822215'), Decimal('25.470396'))	863033069630348057	
2022/07/05	tyler76	"41058 Brittney Row
Lindseymouth, IA 20551"	Johnston-Reeves	Jeffrey Lucero	1936-12-01	445-75-1594	adkinsvictor@yahoo.com	1229		3590433799317661602	
2020-02-08	vhurley		Brown-West	Walter Mendoza	2017-06-29	820-81-4065	juan88@gmail.com	657	(Decimal('-12.5143525'), Decimal('-177.305661'))	359043379931766114	Animal nutritionist
2023/08/26	kevinmorgan		Tran, Wiggins and Hernandez	Katelyn Norris	1921-07-12	108-53-3150	schwartzcatherine@hotmail.com	859	(Decimal('13.531920'), Decimal('-151.474601'))	359043379931766882	Merchant navy officer
2020/03/08	xmckay	"88356 Robert Neck Apt. 216
Kelseytown, AZ 77355"	Martinez, King and Donaldson	Deanna Acosta	2024-02-08	367-56-2461	rachael37@hotmail.com	897	(Decimal('-53.8711865'), Decimal('27.527907'))	8630330696303482345	
10/05/2020, 00:00:00	thomas67		Harding PLC	Brandy Parks	1980-07-01	451-66-3906	etaylor@gmail.com	1613	(Decimal('62.265855'), Decimal('-111.147577'))	3590433799317661529	
2022-06-23	lopezbryan	"52648 Hughes Plains Apt. 416
Randyport, MD 64606"	Wood-Green	Justin Garcia	1939-10-09	572-72-0459	danielwong@hotmail.com	749	(Decimal('-28.1688365'), Decimal('52.077266'))	359043379931766288	Museum education officer
2021/11/24	melissa56	"9816 Foley Forge
Clinebury, DC 99763"	Lawson, Park and Bradshaw	Jennifer Anderson		050-27-0536	kathleen98@gmail.com	513	(Decimal('-54.027090'), Decimal('-43.804039'))	3590433799317662089	
05 Sep 2022	jamesmercer		Watts, Carter and Oconnor	William Jones	1931-01-15	670-96-4079	cnoble@yahoo.com	141	(Decimal('-86.7268255'), Decimal('-163.040095'))	8630330696303482246	Sports development officer
2021-03-03	kevin65	"97908 Sandoval Square
New Christinefort, NC 38327"	Smith LLC	Tiffany Molina		558-26-4525	mtaylor@yahoo.com	1661	(Decimal('-40.583310'), Decimal('-164.289544'))	3590433799317662055	
11 Apr 2019	hammondkeith	"269 Amber Prairie Suite 358
Thomasshire, LA 04868"	Landry-Williams	Joanna Tucker	2020-10-11	819-03-5776	kevin37@yahoo.com	606	(Decimal('24.388714'), Decimal('-118.599106'))	863033069630348560	Trading standards officer
22 Sep 2022	stevenscharles		Gilbert, Bond and Hunter	Laura Woodward		676-91-1282	ritamanning@yahoo.com	325	(Decimal('-10.569029'), Decimal('-152.132901'))	359043379931766080	
2019/07/17	yfarmer		Miller, Walker and Hill	Timothy Andrews	1945-12-25	020-65-5608	michaelhansen@gmail.com	344	(Decimal('36.196021'), Decimal('112.838975'))	863033069630348297	
08 Oct 2020	icabrera		Beltran PLC	Randy Ingram	1929-07-28	083-99-5056	karen62@gmail.com	540	(Decimal('5.712077'), Decimal('61.351781'))	359043379931766098	Dietitian
2023-03-30	theresahart	"859 Kristin Court Apt. 796
West Patrickview, MP 10829"	Novak Group	Larry Miller		458-02-2743	angela15@yahoo.com	2031	(Decimal('56.105971'), Decimal('-155.054830'))	3590433799317661677	
22 Jun 2018	gibsonlauren		Riley-Collins	Anne Edwards	1964-01-22	158-38-3088	owilliams@gmail.com	231		3590433799317662139	
2022/09/04	coreydorsey		Calderon, Harris and Wolfe	Michael Scott		315-14-0991	david08@yahoo.com	1822		863033069630348818	
